,label,keshi,nianling,xiebie,title,dafu1,dafu2,dafu3,dafu4,dafu5,dafu6,dafu7,dafu8,dafu9,dafu10,dafu11,dafu12,dafu13,dafu14,dafu15,dafu16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"什么原因引起初生婴儿假阳性先天性甲状腺功能低下,先天性甲状腺低下,先天性甲状腺瘤,刚出生35天婴儿,查出先天性甲状腺功能减低症是什么原因...,甲状腺低下一般由什么原因引起的","你好，根据你说的情况是需要 到医院给予检查一下甲功才能确诊的，确诊后可以给予处理的,病情分析：先天性甲状腺功能低下症是由于多种因素造成的甲状腺激素的合成及分泌不足而引起的的",以往称为“克汀病”或叫“呆小病”,病因：⑴甲状腺不发育或发育不全,⑵甲状腺素合成途中的酶缺陷,⑶妈妈在妊娠期应用抗甲状腺药物治疗，该药可通过胎盘抑制胎儿甲状腺素的合成,"⑷个别地区孕妇饮食中缺乏碘，致使胎儿因碘缺乏而出现甲状腺功能低下,
意见建议：,
目前国内、外都采用出生后2～3天的新生儿干血滴纸片进行初次筛查，作为早期诊断，若明确诊断后应定期去医院进行终身治疗",有许多的呆小病儿经正规的甲状腺素替代治疗后，症状明显改善，宝宝会一天一个样，一直在进步中，家长千万不要中断治疗，定期去医院检查，请医生调整用甲状腺素片的用药剂量,",你好，宝宝先天性甲状腺瘤，可以给孩子做彩超检查一下，看看是甲状腺腺瘤还是囊肿，做甲状腺功能检测，排除甲状腺功能腺瘤，甲亢等疾病",如果没有其他表现可以观察，每半年左右检查一次,如果有症状，需要看看儿科医生，有可能需要口服药物治疗，一般这么大孩子即使有甲亢也不需要手术,,",您好，多是由患儿甲状腺先天性缺陷或因母孕期饮食中缺碘所致的",",临床表现为体格和智能发育障碍，是小儿常见的内分泌疾病",",以上情况一般考虑与孩子先天性发育不全有关， 就是甲状腺没有发育好 导致甲状腺合成甲状腺素减少导致的一种疾病， 以上情况只要能早发现 早治疗 对孩子还是安全的,可以说以上情况自行康复的可能不大， 需要长期治疗， 维持甲状腺的功能,你好，引产的药物，可能会造成胎儿出现畸形，有可能会损伤甲状腺的功能，所以有可能会引起身体性的甲状腺功能低下",",这种情况需要补充甲状腺激素进行治疗，现在也没有其他的办法，如果不补充治疗的话对孩子的发育有很大的不良影响",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"小儿感冒后吃什么食物,小儿感冒老是干咳什么原因？,小儿感冒后出汗全身起疙瘩,小儿感冒后反复咳嗽","你好，根据你说的情况是需要你给予高热量的饮食的,同时需要多喝水的,注意休息的, 您好，考虑支气管炎或肺炎，建议到医院找儿科医生就诊，进行肺部听诊，必要时胸片检查，正规用药治疗，多喝水",",你的宝宝咳嗽建议服用儿童清肺口服液、儿童清肺丸或小儿保元丹、小儿金丹片等，建议在医生指导下使用药物来治疗",",你好，皮肤的疾病作直观的检查是很重要的，因为很多的皮肤病表现都比较类似的，再加上单纯的从文字描述可能也并不是太准确，这就对皮肤疾病的诊断造成比较大的影响，最好还是考虑去正规的医院皮肤科检查一下吧，诊断清楚后进行治,你好！孩子的情况要按心肌炎治疗一段时间",",
,
咳嗽考虑是过敏性咳嗽，可加用沙胺丁醇片口服或气雾剂吸入以平喘",这种容易反复的情况是就考虑过敏性咳嗽的,",呕吐可能是生理现象,也可以是病理现象,甚至可以是一些严重病症的早期表现,因此,及时正确判断呕吐的原因,采取相应措施是非常重要的.,
,
应该到医院看一下,儿科,检查一下什么原因,这样才可能采取治疗方法,病情分析：感染性跛行,
意见建议：你好，小儿的情况，考虑属于感染性跛行，建议抗炎抗病毒治疗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"小儿感冒,音哑,两个月该怎么办,两个月宝宝咳嗽喝小儿感冒课粒可以吗,小儿感冒颗粒怎么服用？两个月的,小儿感冒半个月还没好,未满两个月的宝宝能服用葵花小儿感冒颗粒吗？,小儿感冒后流鼻涕差不多两个月是什么原因",病情分析： 你好，这种情况主要与上呼吸道感染引发的咽喉炎有关，建议及时到小儿科诊治，小儿机体抵抗力弱，病情易发生变化,",您好，孩子咳嗽考虑是有感冒或者支气管炎的可能的",",是可以服用小儿感冒颗粒的，再配合抗炎药物、止咳药治疗效果会更好的",如阿莫西林、治咳枇杷露,",你好，小儿感冒颗粒属于中成药，主要功效是疏风解表、清热解毒；不过不建议婴幼儿食用中成药，因为中成药成分复杂，很难保证不会对小儿造成损害",",普通感冒主要是以病毒感染为主，无治疗普通感冒的特效药物，患普通感冒主要予以对症处理；小儿出现发热，低热首先采用物理降温，中高热可以采用泰诺林退热，这个药物安全性高；出现鼻塞流涕可以使用医用生理盐水清洗鼻孔",",感冒初期可以吃点牛磺 酸颗粒，药店可以买到，是非处方药",同时补充大量维C,感冒药可以吃但只能缓解感冒 症状而不能治疗感冒,如果流鼻涕比较多，或者有点热度，可以吃一点消炎药，但是消炎药最好少吃,感冒一般一个星期自愈,症状如果加重就要去医院,",两个月的小儿是可以口服小儿感冒颗粒的，主要是用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛,如果是风寒的感冒则不宜应用的，比如孩子发烧，咽不红，流清水鼻子等","
可以多喂开水，配合治疗，效果更好的",",病情分析： 这个情况可以给孩子口服小儿感冒颗粒，如果症状较重应该给孩子服用抗生素和抗病毒的药物以及感冒药，,意见建议：如果发烧就服用退热的比如安瑞克",平时让孩子多喝水,补充足够的能量,情况严重的话需要扎针或输液治疗,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"小儿感冒后吃什么食物,小儿感冒老是干咳什么原因？,小儿感冒后出汗全身起疙瘩,小儿感冒后反复咳嗽","你好，根据你说的情况是需要你给予高热量的饮食的,同时需要多喝水的,注意休息的, 您好，考虑支气管炎或肺炎，建议到医院找儿科医生就诊，进行肺部听诊，必要时胸片检查，正规用药治疗，多喝水",",你的宝宝咳嗽建议服用儿童清肺口服液、儿童清肺丸或小儿保元丹、小儿金丹片等，建议在医生指导下使用药物来治疗",",你好，皮肤的疾病作直观的检查是很重要的，因为很多的皮肤病表现都比较类似的，再加上单纯的从文字描述可能也并不是太准确，这就对皮肤疾病的诊断造成比较大的影响，最好还是考虑去正规的医院皮肤科检查一下吧，诊断清楚后进行治,你好！孩子的情况要按心肌炎治疗一段时间",",
,
咳嗽考虑是过敏性咳嗽，可加用沙胺丁醇片口服或气雾剂吸入以平喘",这种容易反复的情况是就考虑过敏性咳嗽的,",呕吐可能是生理现象,也可以是病理现象,甚至可以是一些严重病症的早期表现,因此,及时正确判断呕吐的原因,采取相应措施是非常重要的.,
,
应该到医院看一下,儿科,检查一下什么原因,这样才可能采取治疗方法,病情分析：感染性跛行,
意见建议：你好，小儿的情况，考虑属于感染性跛行，建议抗炎抗病毒治疗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小儿感冒是什么原因引起的？, 您好，考虑支气管炎或肺炎，建议到医院找儿科医生就诊，进行肺部听诊，必要时胸片检查，正规用药治疗，多喝水,",你的宝宝咳嗽建议服用儿童清肺口服液、儿童清肺丸或小儿保元丹、小儿金丹片等，建议在医生指导下使用药物来治疗",", 孩子这种情况主要是因为感冒发烧引起的支气管炎症而咳嗽，建议去医院详细检查一下，遵照医嘱进行治疗",",小儿的咽鼓管比较短呈水平位，病原体及分泌物很容易经过咽鼓管进入中耳引起急性炎症，感冒属于呼吸道感染，可引起中耳炎",",诱发因素上呼吸道感染的发生和发展，除了取决于侵入的病原体种类、毒性及数量，还有其他诱发因素",1、宿主防御能力营养不良和缺乏锻炼，以及有过敏体质的 或免疫功能缺陷或低下的小儿，身体防御能力降低，容易发生上呼吸道感染，症状较为严重，在气候改变较多的冬春季节，更易造成流行,2、环境因素大气污染、 居住拥挤、间接吸入烟雾、被动吸烟等，均可降低呼吸道局部防御能力，促使病原体生长繁殖,", 宝宝这种情况主要是受凉引起的，建议你可以给宝宝服用小儿氨酚黄那敏颗粒利巴韦林颗粒维生素C片等药物",注意休息，多给宝宝喂开水，注意观察宝宝各方面的情况，注意保暖，避免着凉,"祝宝宝早日康复！,感冒的病因可从病原体和身体的防御能力两个方面分析(1)病原体各种病毒和细菌都可以引起上呼吸道感染尤以病毒为多见约占原发性感染的90%以上经过病毒感染后上呼吸道粘膜失去抵抗力细菌可乘机侵入并发较严重的细菌感染常见病毒中由鼻病毒引起的感冒约占感冒总数的50%冠状病毒约占15%～20%腺病毒约占10%柯萨奇病毒、埃可病毒以及其它肠道病毒约占10%呼吸道合胞体病毒约占5%～10%其他为类流感病毒等常见细菌感染以溶血性链球菌最为多见其次为肺炎球菌葡萄球菌流感杆菌等(2)身体防御能力上呼吸道感染的发生和发展不但取决于病毒或病菌的侵入而且与身体的防御能力密切相关这种防御能力在很大程度上受体育锻炼、营养状况和卫生习惯等影响有了坚强的防御能力即使遇到病原体也不易侵入营养不良及／或缺乏锻炼的人容易感冒特别在消化不良、佝偻病的小儿往往出现严重的症状在气候多变的季节如春季、秋冬之交因多数人呼吸道适应、防御能力下降而容易造成流行",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小儿感冒是什么原因引起的？,病情分析： 你好，这种情况主要与上呼吸道感染引发的咽喉炎有关，建议及时到小儿科诊治，小儿机体抵抗力弱，病情易发生变化,",您好，孩子咳嗽考虑是有感冒或者支气管炎的可能的",",是可以服用小儿感冒颗粒的，再配合抗炎药物、止咳药治疗效果会更好的",如阿莫西林、治咳枇杷露,",你好，小儿感冒颗粒属于中成药，主要功效是疏风解表、清热解毒；不过不建议婴幼儿食用中成药，因为中成药成分复杂，很难保证不会对小儿造成损害",",普通感冒主要是以病毒感染为主，无治疗普通感冒的特效药物，患普通感冒主要予以对症处理；小儿出现发热，低热首先采用物理降温，中高热可以采用泰诺林退热，这个药物安全性高；出现鼻塞流涕可以使用医用生理盐水清洗鼻孔",",感冒初期可以吃点牛磺 酸颗粒，药店可以买到，是非处方药",同时补充大量维C,感冒药可以吃但只能缓解感冒 症状而不能治疗感冒,如果流鼻涕比较多，或者有点热度，可以吃一点消炎药，但是消炎药最好少吃,感冒一般一个星期自愈,症状如果加重就要去医院,",两个月的小儿是可以口服小儿感冒颗粒的，主要是用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛,如果是风寒的感冒则不宜应用的，比如孩子发烧，咽不红，流清水鼻子等","
可以多喂开水，配合治疗，效果更好的",",病情分析： 这个情况可以给孩子口服小儿感冒颗粒，如果症状较重应该给孩子服用抗生素和抗病毒的药物以及感冒药，,意见建议：如果发烧就服用退热的比如安瑞克",平时让孩子多喝水,补充足够的能量,情况严重的话需要扎针或输液治疗,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小儿感冒是什么原因引起的？,病情分析： 你好，这种情况主要与上呼吸道感染引发的咽喉炎有关，建议及时到小儿科诊治，小儿机体抵抗力弱，病情易发生变化,",您好，孩子咳嗽考虑是有感冒或者支气管炎的可能的",",是可以服用小儿感冒颗粒的，再配合抗炎药物、止咳药治疗效果会更好的",如阿莫西林、治咳枇杷露,",你好，小儿感冒颗粒属于中成药，主要功效是疏风解表、清热解毒；不过不建议婴幼儿食用中成药，因为中成药成分复杂，很难保证不会对小儿造成损害",",普通感冒主要是以病毒感染为主，无治疗普通感冒的特效药物，患普通感冒主要予以对症处理；小儿出现发热，低热首先采用物理降温，中高热可以采用泰诺林退热，这个药物安全性高；出现鼻塞流涕可以使用医用生理盐水清洗鼻孔",",感冒初期可以吃点牛磺 酸颗粒，药店可以买到，是非处方药",同时补充大量维C,感冒药可以吃但只能缓解感冒 症状而不能治疗感冒,如果流鼻涕比较多，或者有点热度，可以吃一点消炎药，但是消炎药最好少吃,感冒一般一个星期自愈,症状如果加重就要去医院,",两个月的小儿是可以口服小儿感冒颗粒的，主要是用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛,如果是风寒的感冒则不宜应用的，比如孩子发烧，咽不红，流清水鼻子等","
可以多喂开水，配合治疗，效果更好的",",病情分析： 这个情况可以给孩子口服小儿感冒颗粒，如果症状较重应该给孩子服用抗生素和抗病毒的药物以及感冒药，,意见建议：如果发烧就服用退热的比如安瑞克",平时让孩子多喝水,补充足够的能量,情况严重的话需要扎针或输液治疗,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小儿感冒是什么原因引起的？,病情分析： 你好，这种情况主要与上呼吸道感染引发的咽喉炎有关，建议及时到小儿科诊治，小儿机体抵抗力弱，病情易发生变化,",您好，孩子咳嗽考虑是有感冒或者支气管炎的可能的",",是可以服用小儿感冒颗粒的，再配合抗炎药物、止咳药治疗效果会更好的",如阿莫西林、治咳枇杷露,",你好，小儿感冒颗粒属于中成药，主要功效是疏风解表、清热解毒；不过不建议婴幼儿食用中成药，因为中成药成分复杂，很难保证不会对小儿造成损害",",普通感冒主要是以病毒感染为主，无治疗普通感冒的特效药物，患普通感冒主要予以对症处理；小儿出现发热，低热首先采用物理降温，中高热可以采用泰诺林退热，这个药物安全性高；出现鼻塞流涕可以使用医用生理盐水清洗鼻孔",",感冒初期可以吃点牛磺 酸颗粒，药店可以买到，是非处方药",同时补充大量维C,感冒药可以吃但只能缓解感冒 症状而不能治疗感冒,如果流鼻涕比较多，或者有点热度，可以吃一点消炎药，但是消炎药最好少吃,感冒一般一个星期自愈,症状如果加重就要去医院,",两个月的小儿是可以口服小儿感冒颗粒的，主要是用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛,如果是风寒的感冒则不宜应用的，比如孩子发烧，咽不红，流清水鼻子等","
可以多喂开水，配合治疗，效果更好的",",病情分析： 这个情况可以给孩子口服小儿感冒颗粒，如果症状较重应该给孩子服用抗生素和抗病毒的药物以及感冒药，,意见建议：如果发烧就服用退热的比如安瑞克",平时让孩子多喝水,补充足够的能量,情况严重的话需要扎针或输液治疗,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小儿感冒是什么原因引起的？,"病情分析： 你好，与用疫苗反应有关的，建议多喝水，预防并发症，可对症退热，大于38.5可选用美林，布洛芬，锌布颗粒等处理，注意别用激素，多喝水，祝宝宝健康成长！,发烧后眼角发红，我认为是过敏的症状，普拉洛芬滴眼液是止痛的药物，鱼腥草滴眼液是抗菌消炎的药物",我认为此时用这两种药物意义不大,",考虑是眼角膜出血，我建议您试试闪亮或萘敏维滴眼液即可，其含有的扑尔敏可抗过敏，好友的萘甲唑啉具有收缩毛细血管，减轻出血的症状，额可以试试",", 你好，宝宝发热建议带宝宝做一个血常规的检查，看是病毒感染引起的还是细菌感染引起的,单纯使用退热药物是不行的，建议使用头孢克唔颗粒和利巴韦林进行治疗，,同时可使用安瑞克退热，要多饮水，可使用医用酒精对宝宝身体各部位进行物理降温较好, 你好 这情况应该考虑是皮肤过敏,建议外涂醋酸肤轻松冰片软膏或阿昔洛韦软膏效果最好",",可吃些消风止痒颗粒或氯雷他定来治疗,不可吃辛辣刺激和易过敏食物,注意多喝点水 多吃水果蔬菜 没有改善建议您及时就诊 祝您健康,病情分析： 属于高烧的情况是要积极的处理的，肚子痛还要考虑是不是有生命感染的情况",",意见建议：查清原因后积极的抗感染治疗",",病情分析：你好，考虑是结膜炎，可以外用诺氟沙星滴眼液进行治疗",平时注意眼部的卫生,不要吃辛辣食品,",
意见建议：",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小儿感冒是什么原因引起的？,病情分析： 你好，这种情况主要与上呼吸道感染引发的咽喉炎有关，建议及时到小儿科诊治，小儿机体抵抗力弱，病情易发生变化,",您好，孩子咳嗽考虑是有感冒或者支气管炎的可能的",",是可以服用小儿感冒颗粒的，再配合抗炎药物、止咳药治疗效果会更好的",如阿莫西林、治咳枇杷露,",你好，小儿感冒颗粒属于中成药，主要功效是疏风解表、清热解毒；不过不建议婴幼儿食用中成药，因为中成药成分复杂，很难保证不会对小儿造成损害",",普通感冒主要是以病毒感染为主，无治疗普通感冒的特效药物，患普通感冒主要予以对症处理；小儿出现发热，低热首先采用物理降温，中高热可以采用泰诺林退热，这个药物安全性高；出现鼻塞流涕可以使用医用生理盐水清洗鼻孔",",感冒初期可以吃点牛磺 酸颗粒，药店可以买到，是非处方药",同时补充大量维C,感冒药可以吃但只能缓解感冒 症状而不能治疗感冒,如果流鼻涕比较多，或者有点热度，可以吃一点消炎药，但是消炎药最好少吃,感冒一般一个星期自愈,症状如果加重就要去医院,",两个月的小儿是可以口服小儿感冒颗粒的，主要是用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛,如果是风寒的感冒则不宜应用的，比如孩子发烧，咽不红，流清水鼻子等","
可以多喂开水，配合治疗，效果更好的",",病情分析： 这个情况可以给孩子口服小儿感冒颗粒，如果症状较重应该给孩子服用抗生素和抗病毒的药物以及感冒药，,意见建议：如果发烧就服用退热的比如安瑞克",平时让孩子多喝水,补充足够的能量,情况严重的话需要扎针或输液治疗,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,小儿感冒是什么原因引起的？,病情分析： 你好，这种情况主要与上呼吸道感染引发的咽喉炎有关，建议及时到小儿科诊治，小儿机体抵抗力弱，病情易发生变化,",您好，孩子咳嗽考虑是有感冒或者支气管炎的可能的",",是可以服用小儿感冒颗粒的，再配合抗炎药物、止咳药治疗效果会更好的",如阿莫西林、治咳枇杷露,",你好，小儿感冒颗粒属于中成药，主要功效是疏风解表、清热解毒；不过不建议婴幼儿食用中成药，因为中成药成分复杂，很难保证不会对小儿造成损害",",普通感冒主要是以病毒感染为主，无治疗普通感冒的特效药物，患普通感冒主要予以对症处理；小儿出现发热，低热首先采用物理降温，中高热可以采用泰诺林退热，这个药物安全性高；出现鼻塞流涕可以使用医用生理盐水清洗鼻孔",",感冒初期可以吃点牛磺 酸颗粒，药店可以买到，是非处方药",同时补充大量维C,感冒药可以吃但只能缓解感冒 症状而不能治疗感冒,如果流鼻涕比较多，或者有点热度，可以吃一点消炎药，但是消炎药最好少吃,感冒一般一个星期自愈,症状如果加重就要去医院,",两个月的小儿是可以口服小儿感冒颗粒的，主要是用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛,如果是风寒的感冒则不宜应用的，比如孩子发烧，咽不红，流清水鼻子等","
可以多喂开水，配合治疗，效果更好的",",病情分析： 这个情况可以给孩子口服小儿感冒颗粒，如果症状较重应该给孩子服用抗生素和抗病毒的药物以及感冒药，,意见建议：如果发烧就服用退热的比如安瑞克",平时让孩子多喝水,补充足够的能量,情况严重的话需要扎针或输液治疗,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"高烧惊厥什么原因,",你好，很高兴为你解答,高热惊厥的原因有颅脑的和颅外的原因,颅内的包括脑炎，脑膜炎，脑脓肿，寄生虫感染，等等,楼外的洁面膏包括重症肺炎，百日咳，败血症破伤风，中毒性脑病等等,",您好，宝宝在五岁以内，高热状态下很容易发生惊厥，一般一个热程一次，时间短，过后宝宝精神好，无其他表现",建议在惊厥时注意保护舌头避免咬伤，平时注意宝宝的体温变化，出现发热及时退热，避免惊厥的发生，发生后及时送医院,",你好根据你的描述给分析",考虑目前孩子有高热惊厥，一般是由感冒引起，体温超过39度5就可以引起高烧惊厥,主要上由于小儿的体温调节中枢发育不完善有关,在临床上很常见,建议平时合理喂养预防感冒，积极对症治疗即可,祝孩子健康,", 你好孩子发热多见于上呼吸道感染或者胃肠道消化功能紊乱等疾病引起，因此对症退热同时还要抗炎抗病毒治疗",对症退热用物理降温和药物退热，先做物理降温，可用兵兵退热贴，起到退热护脑的作用,在物理降温基础上，体温超过38.5度时再按照说明剂量准确用药退热，如小儿布洛芬,家长注意观察，孩子是否伴随流涕、鼻塞等症状，是否有咽喉红肿或者腹泻、食欲减退等症状，然后对症抗炎抗病毒治疗,",你好孩子发热多见于上呼吸道感染或者胃肠道消化功能紊乱等疾病引起，因此对症退热同时还要抗炎抗病毒治疗",对症退热用物理降温和药物退热，先做物理降温，可用兵兵退热贴，起到退热护脑的作用,在物理降温基础上，体温超过38.5度时再按照说明剂量准确用药退热，如小儿布洛芬,家长注意观察，孩子是否伴随流涕、鼻塞等症状，是否有咽喉红肿或者腹泻、食欲减退等症状，然后对症抗炎抗病毒治疗,",抽搐发生时要进行紧急处理,对于在家中发生高热惊厥的小儿,家长不要惊慌,应马上用指甲掐按小儿的鼻下人中穴,双手虎口部的合谷穴及双手腕上的内关穴.侧卧位防止口中粘液,食物呛入气管,并置筷子或牙刷柄于上下牙齿之间,防止咬伤舌头,然后迅速送至医院儿科抢救治疗.,中药牛黄清热散,紫雪散,救急散均为退热定惊良药,并具有副作用小的优点,可以在家庭中给高热患儿服用.但此类药物为苦寒泻下之品,适用于有高热,面红,口臭,便秘症状者.
反复出现高热惊厥的小儿,将来可能会发展成癫痫,故应引起家长重视,应在医师的指导下,预防性地服用抗惊厥药物.",,,,,,,,,,,,,,,,,,,,,
,,,,,小孩发烧的主要原因,"小儿发烧的病因是相当多的，临床上可以分为感染性与非感染性，以感染性多见，如感冒等是最常见的病因，对于发热需要首先明确病因，针对病因进行处理，体温过高时容易引起小儿高热惊厥，,所以也是有必要控制体温的，主要是采用药物降温与物理降温的方法，具体用药最好能在医生指导下使用","祝好,小儿发烧的病因是相当多的，临床上可以分为感染性与非感染性，以感染性多见，如感冒等是最常见的病因，对于发热需要首先明确病因，针对病因进行处理，体温过高时容易引起小儿高热惊厥，所以也是有必要控制体温的，主要是采用药物降温与物理降温的方法，具体用药最好能在医生指导下使用",",惊厥是由高烧引起的,避免宝宝发高烧就不会发生惊厥了","       一般38,5度以下物理治疗,38,5度以上需要注意,应该服用退烧药,如果还不见好转就应该及时送医院",", 一般感冒就会发烧，吃坏肚子了会有食烧，所以这个检查一下感冒的就治感冒，,食积的，就吃一些小儿健胃消食片就行了，这个一般就这些现像还有就是正常的生长热这个一般不需要治疗",", 这种情况还是建议及时去医院详细检查一下，可能是有感冒引起的，比如是有感染，但是如果是减少比较多，需要注意 的,您好,
小儿发烧发热的原因多是感染引起,感染包括细菌感染和病毒感染以及真菌感染等,可以先用对乙酰氨基酚口服,口服大青叶口服液,如有不适随时复查,建议以后出现发热超过38度就要引起高度重视，可以先在家物理降温，比如冷敷额部，多喝水，也可以口服退热药物或者肛门用退热栓",然后及时上医院就诊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"宝宝高烧睡着摸摸好像不太烧什么原因,一岁半宝宝高烧、口臭什么原因？	池州口臭医院,宝宝高烧退后咳嗽没力气是什么原因?,宝宝高烧不退反而上升什么原因?,滁州治疗口臭	一岁半宝宝高烧、口臭什么原因？,14月宝宝高烧39度没有其它症状是什么原因","你好
   导致发烧的原因有很多，如细菌感染，病毒感染，着凉等",用药要注意选择副作用小的药物,在不超过38.5以上的情况下以 多喝水为主的  ,超过的话 那是要积极进行用退热药物 并且积极进行物理降温才行的,同时间要多喝水，在必要的时候积极进行血液检查确定情况,",孩子发烧您如何做最正确 孩子比成年人更容易发烧，因为他们通常是第一次受到病菌或病毒的袭击，而成年人已经产生了良好的自身", 发烧本身是显示机体和病菌、病毒作抗争的一个信号，也是许多疾病的表现症状,"-=0,0-=一般来说，孩子发烧是由上呼吸道感染(如感冒、喉炎等)、耳朵和尿道、胃肠感染或是其它多种病毒感染引起的，尽管孩子发烧相当常见，但也会令很多家长一筹莫...,小儿咳嗽是有上呼吸道感染引起的可能.可以采取念慈庵蜜炼川贝枇杷膏,喝上一口清清凉凉,嗓子不再痒 !蛇胆川贝枇 杷膏可选 择让宝 宝液化吸入化痰药物.,你好，发烧考虑是病理性的有各种病原体感染如病毒细菌真菌等，还有一些变态反应如风湿热等，还有植物神经功能紊乱等",",孩子发烧您如何做最正确 孩子比成年人更容易发烧，因为他们通常是第一次受到病菌或病毒的袭击，而成年人已经产生了良好的自身"," 发烧本身是显示机体和病菌、病毒作抗争的一个信号，也是许多疾病的表现症状-=-=-,-=0=-0=一般来说，孩子发烧是由上呼吸道感染(如感冒、喉炎等)、耳朵和尿道、胃肠感染或是其它多种病毒感染引起的，尽管孩子发烧相当常见，但也会令很多家长一筹莫...,您好，孩子一岁二个月有发烧的现象，没有什么症状不排除孩子积食的可能，与喂养不当有关",",多给孩子喝水，如果孩子食欲不好，可以服用健儿消食口服液治疗的，也可以查一下血象的，看是什么感染对症治疗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,," 小儿发烧是什么原因引起的？,",您好，根据您描述的情况分析考虑是小儿高热惊厥，这是小儿的常见疾病，多见于3岁以内的小儿，是由于突然体温过高导致的大脑功能紊乱引起的，预后良好,指导意见：一般患儿终生只发作1、2次，如果频繁发作，日后有癫痫的可能，建议主要应该在患儿发热的时候及时给与治疗，避免体温过快的升高，待患儿长大一些，随着大脑发育的完善，这种情况一般就不会发生了，不必过于担心,"
,你好，根据你的病情分析 考虑你的宝宝是消化不良引起的，首先建议平时给宝宝饮食清淡些，注意宝宝腹部的保暖，,口服些调节胃肠功能的药物如妈咪爱及思密达，给宝宝多喂些水 希望我的回答对你有帮助，祝您健康",",病情分析：您好 这样的情况需要考虑与脑血管的病变有关 可以的控制血压液血脂 是主要的治疗复发，必要时需要脑部CT检查一次,
意见建议：,引起小儿发烧的原因很多，归纳起来可分为两大类，即感染性和非感染性",感染性发热：上呼吸道感染、气管炎、肺炎、中耳炎、败血症、皮肤感染、尿路感染、化 脓性脑膜炎等感染性疾病会引起发烧;各种急性传染病像麻疹、猩红热、幼儿急疹、水痘、风疹、流感、流行性腮腺炎、流行性脑膜炎、流行性乙型脑炎、菌痢、伤 寒均可伴有发烧,非感染性发热：结缔组织病如儿童类风湿病、皮肤黏膜淋巴结综合征等均可有发烧;此外，小儿脱水热、药物热、暑热症、肿瘤、白血病以及颅脑 外伤后的中枢性发烧均属于非感染性发烧,",你好 导致发烧的原因有很多，如细菌感染，病毒感染，着凉等",用药要注意选择副作用小的药物,在不超过38.5以上的情况下以多 喝水为主的 ,超过的话 那是要积极进行用退热药物 并且积极进行物理降温才行的,同时间要多喝水，在必要的时候积极进行血液检查确定情况,",你好！高热所致，积极退热",如口服退热剂，可直肠给退热栓，也可使用物理降温：酒精擦浴等,建议应积极就医, 这种情况一般不会馏后遗症的,,,,,,,,,,,,,,,,,,,,,,,,,,,
